DBH	Species	Radius					
1.2	1	0.70					
29.9	1	3.78					
28.9	1	2.92					
6.5	1	1.10					
15.4	1	1.90					
34.1	1	3.57					
7	1	1.58					
1.0	1	0.20					
36.4	1	3.7					
18	1	2.7					
11	1	2.04					
11.2	1	1.00					
18.8	1	2.33					
30.2	1	3.72					
7.7	1	1.85					
5.9	1	1.15			
28.2	1	3			
33.1	1	3.66			
18.9	1	1.50			
10.8	1	1.70			
24.4	1	3.48			
16.8	1	1.80			
27.3	1	2.83			
7.6	1	1.60			
27.8	1	1			
27.5	1	4.05			
22.3	1	2.1			
11.4	2	2.21			
20.2	2	1.85			
32.1	2	2.5			
36.4	2	0.35			
6.4	2	2.1			
18.8	2	2.48			
23.4	2	2.75			
40.4	2	2.66			
15.8	2	2.40			
29.1	2	1.9			
24.1	2	3.85			
17	2	2.1			
7.6	2	2.05			
36.4	2	3.32			
22.3	2	2.2			
14	2	2.93			
12.6	2	2.62			
37	2	2.85			
18.2	2	1.70			
14.2	2	3.65			
7.3	2	0.55			
16.9	2	2.9			
19.6	2	3.22			
12.6	2	1.90			
10.9	2	1.56			
6.5	2	1.50			
17.0	2	1.30			
5.9	2	1.80			
10.2	2	1.10			
24.4	2	4.68			
2.2	2	1.05			
7.2	2	1.95			
9.5	2	3.6			
7.6	2	1.37			
10.9	3	2.05			
15.8	3	2.40			
36.2	3	4.95			
15.9	3	2.81			
20.8	3	3.55			
36.4	3	4.75			
36.4	3	4.3			
13.0	3	2.15			
7.8	3	1.45			
4.9	3	1.65			
16.8	3	1.50			
9.0	3	1.10			
21.7	3	4.3			
9.0	3	1.50			
21.4	3	3.07			
0.8	3	0.60			
30.4	3	2.78			
7.6	3	2.1			
41.3	3	2.5			
22.4	3	2.00			
20.9	3	1.95			
17	3	2.51			
40.4	3	5.42			
2.0	3	0.80			
27.8	3	3.7			
9.8	3	0.79			
36.2	3	3.77			
22.3	3	3.40			
11.2	3	1.85			
15.8	3	1.60			
2.7	3	1.10			
9.9	3	3.10			
26.5	3	3.8			
40.5	3	2.75			
16.2	3	2.30			
12.1	3	2.05			
12.4	3	1.75			
13.0	3	1.30			
