X	Y	DBH	Height	Site
92.9819	0.130174	20.4409	17.8584	1
2.18273	0.206145	24.5965	14.2532	1
12.441	1.65648	24.7251	14.3024	1
62.3318	1.70356	10.0437	14.7832	1
10.0444	4.43354	20.437	15.5033	1
48.9478	4.64221	21.083	12.8477	1
19.7115	23.3113	26.7248	15.0479	1
22.2001	23.5741	15.8603	15.2827	1
47.5917	24.8029	24.6417	20.5475	1
4.17677	25.6673	24.5238	14.2253	1
17.6485	26.4832	15.7174	19.3564	1
33.3001	26.8861	15.5285	13.4484	1
7.82616	27.3676	24.4954	22.7325	1
1.02206	27.8618	25.2473	23.0322	1
83.8936	28.1245	25.1762	20.0482	1
51.4757	31.8241	14.712	18.6604	1
88.4211	32.303	24.6927	22.8124	1
95.925	32.7539	25.5194	14.6029	1
67.2307	33.1288	20.7127	21.0178	1
72.3367	35.9174	24.8911	14.3656	1
91.958	37.5878	24.7285	17.4356	1
26.6966	38.4483	15.7698	19.3915	1
94.6504	38.8776	24.495	19.7594	1
32.9965	39.535	11.58	10.9704	1
75.7637	39.8843	10.6583	15.3611	1
53.9077	40.3946	29.1759	22.2922	1
71.2803	41.0018	13.7753	11.8988	1
98.8476	41.22	24.5762	14.2454	1
80.1628	41.2755	25.3438	23.0697	1
71.8037	41.7466	28.9028	22.1968	1
5.7935	43.3759	24.4962	17.3379	1
36.649	44.5595	25.7103	20.269	1
59.769	44.9095	19.7999	21.7702	1
69.1577	46.2854	24.8636	22.8808	1
54.1289	47.3964	29.9088	21.8421	1
71.1454	48.5401	30.466	22.7269	1
31.5195	49.5674	17.2973	20.3648	1
11.1903	49.9739	18.4006	21.0118	1
41.6643	50.6834	18.1298	19.62	1
79.4642	50.8749	10.8682	15.5534	1
70.8792	51.5943	25.2428	20.7998	1
4.96971	51.6265	14.6687	12.9379	1
64.0249	55.1268	13.9584	16.8886	1
14.0368	56.4058	14.9036	13.0789	1
18.9554	57.6993	26.2188	20.4746	1
29.2775	58.0012	24.6008	14.2548	1
19.3677	59.4489	24.6945	20.57	1
10.3461	60.4888	14.3939	17.2045	1
79.7858	60.5412	18.9932	14.7886	1
67.3954	61.203	15.3236	17.8536	1
58.842	61.8314	29.9428	22.5536	1
91.4056	62.141	13.4698	9.35678	1
98.6681	62.8158	26.1045	20.4287	1
31.3124	63.224	24.6488	17.4021	1
94.6427	63.4327	20.2444	21.9975	1
66.9776	64.2341	10.503	9.81271	1
72.9821	64.4542	13.6067	12.2855	1
51.3785	64.5653	25.4398	14.573	1
54.2551	65.94	21.0657	21.1937	1
56.5504	66.3328	20.2685	12.5043	1
2.23216	66.4867	15.44	19.1688	1
45.3342	69.4559	24.5699	19.7915	1
32.0424	71.2179	24.6198	20.5382	1
72.7977	71.7683	28.0094	21.1647	1
92.0992	72.0968	24.8907	17.5033	1
26.3858	72.3907	12.7198	11.7216	1
79.5898	72.807	17.0537	20.2158	1
67.7167	72.9139	24.6919	17.4202	1
74.6373	72.9632	13.3996	12.1554	1
35.7376	74.8827	18.5973	17.5928	1
71.3433	75.9715	16.1888	13.298	1
22.074	77.4039	26.3989	21.2662	1
17.6741	77.811	24.5291	22.7462	1
1.51684	78.2864	25.2446	17.6499	1
39.0764	78.5271	21.6357	22.6691	1
40.5	81.0588	23.8574	13.9674	1
62.2469	92.1658	17.7437	19.3931	1
20.9736	93.9004	18.5675	21.1058	1
99.9925	97.1207	10.156	14.7878	1
56.4955	99.1075	24.6063	14.2569	1
22.0296	99.8321	24.5105	22.7386	1
15.1845	1.01126	2.58555	3.71579	1
10.2497	4.45386	4.03516	7.78121	1
65.5045	5.14707	7.30202	7.86525	1
81.634	8.22579	7.70798	12.3709	1
15.5427	9.95383	7.3175	7.87736	1
11.9988	11.4113	7.28683	11.8969	1
16.6023	12.8993	7.15329	11.6567	1
6.81702	14.3413	9.05418	13.7063	1
79.3912	14.6201	0.757084	2.10624	1
66.3921	17.3409	4.88226	8.86721	1
89.7928	17.6999	7.42078	9.02187	1
77.8849	18.7457	6.5441	6.96495	1
87.6276	21.3366	9.06479	7.02109	1
77.1292	23.5619	7.36529	6.05088	1
58.7875	27.1809	8.7804	13.5226	1
80.8085	37.3649	2.75662	5.91747	1
66.6257	37.7252	6.97003	5.81943	1
18.8067	39.7185	5.3541	6.03287	1
67.7224	41.6093	8.14625	12.851	1
20.298	43.6258	7.73675	9.77337	1
51.8117	45.3816	7.66656	12.3248	1
83.1602	46.8774	8.51254	9.96208	1
87.8783	51.0472	9.33527	13.9893	1
89.1426	52.6199	8.98184	13.6327	1
43.2442	58.9232	2.91602	4.15491	1
97.8359	61.608	2.25807	3.54704	1
12.8829	67.4464	4.51919	6.62213	1
77.5429	69.46	3.43552	6.87287	1
45.0265	72.6073	6.09709	6.90254	1
45.6927	73.2944	9.48835	14.2414	1
92.5958	76.432	8.08716	12.787	1
